family,seed,latent_mse,wall_clock_seconds_labeling,wall_clock_seconds_training,benchmark_backend,split_id,train_episode_count,heldout_episode_count,train_windows,heldout_windows,epochs,batch_size,learning_rate,device,pretrained_path,conditioning_note
baseline,0,0.03442125,0.0,25.91957,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
baseline,1,0.04239301,0.0,18.124098,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
baseline,2,0.04180998,0.0,17.790828,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
rich_text,0,0.03687489,265.036242,17.920386,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
rich_text,1,0.04452262,265.036242,18.03519,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
rich_text,2,0.04498178,265.036242,18.032792,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
rich_text_metadata,0,0.03567911,422.572743,18.01695,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
rich_text_metadata,1,0.04280474,422.572743,18.060269,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
rich_text_metadata,2,0.0417653,422.572743,17.998717,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
rich_text_metadata_subgoal,0,0.0350661,422.981723,19.067074,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
rich_text_metadata_subgoal,1,0.04327732,422.981723,19.023309,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
rich_text_metadata_subgoal,2,0.04143487,422.981723,19.051201,real_lewm_frozen_adapter,bridgedata13_fixed_v1,10,3,221,74,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
